,Unnamed: 0,Debt,Overdue days,Initial limit,BIRTHDATE,SEX,EDU,INCOME,TERM,Credit history rating,LV_AREA,LV_SETTLEMENTNAME,INDUSTRYNAME,PDN,UNDERAGECHILDRENCOUNT,FAMILYSTATUS,target
44,11219,4648.38,156,4700.0,2003-02-12,Male,High school,1655.9,60,E3,Vitebskaja oblast',VJaTERO,Public Administration,0.4,0,2,0
45,15101,1792.2,0,1900.0,1995-08-06,Male,College,677.43,60,C2,BRESTSKAJa,OSNEZhITsY,Trade,0.08,1,2,0
46,15578,1226.68,0,1300.0,1980-01-25,Male,College,563.13,60,B2,Gomel'skaja oblast',ZARECh'E,Public services,0.4,0,1,1
47,11255,9199.62,62,10000.0,1996-12-23,Male,University,4813.06,60,C1,g. Minsk,MINSK,Information Technology,0.31,0,1,1
48,16931,1910.31,0,2000.0,1973-09-07,Male,College,1180.22,60,B3,g. Minsk,MINSK,Trade,0.38,0,2,0
49,13131,1025.05,0,1100.0,1993-11-08,Male,College,1860.0,60,C1,Brestskaja oblast',IVATsEVIChI,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,3,1,1
50,12828,931.85,0,1000.0,1989-04-05,Male,College,1570.19,60,C3,Minskaja oblast',Vygonichi,Production,0.36,2,1,0
51,9912,5608.56,0,6200.0,1980-04-25,Male,University,1328.61,60,A2,Minskaja oblast',STARYE DOROGI,Science and Education,0.4,0,2,1
52,16653,1061.45,0,1200.0,1986-07-19,Male,College,1832.86,60,C2,Vitebskaja oblast',VITEBSK,Production,0.4,0,2,0
53,12168,2522.97,0,3000.0,1992-07-30,Female,University,3103.36,36,C2,g. Minsk,MINSK,Information Technology,0.34,0,2,1
54,15434,1415.37,0,1500.0,2002-05-03,Male,High school,2669.99,60,E1,Mogilevskaja oblast',ShKLOV,Transport/Logistic,0.29,0,1,0
55,10613,812.15,0,1000.0,1993-11-01,Female,College,1164.91,36,D1,MINSKAJa OBLAST',ChAChKOVO,Public Administration,0.26,1,2,0
56,12340,10840.3,0,15000.0,1984-12-17,Male,University,2436.67,60,B1,g. Minsk,MINSK,Public services,0.24,0,1,1
57,13854,3554.6,0,4000.0,1994-07-27,Male,College,1350.79,60,C1,VITEBSKAJa,VITEBSK,Production,0.16,0,1,0
58,13442,9784.46,0,10500.0,1992-11-09,Female,High school,1325.05,60,D3,Minskaja oblast',OZERO,Agriculture,0.35,3,1,0
59,11053,1537.74,124,1600.0,1985-08-23,Female,College,971.11,60,B1,Mogilevskaja oblast',HOTIMSK,Trade,0.05,3,1,1
60,17096,1044.83,0,1100.0,2002-10-19,Female,College,1251.73,60,E1,Minskaja oblast',Sloboda,Construction,0.17,0,1,0
61,18359,2300.0,0,2300.0,1993-11-26,Male,College,1769.64,60,C2,g. Minsk,MINSK,Production,0.38,1,1,0
62,10362,8354.39,0,9500.0,1986-03-27,Male,University,1432.15,60,C2,GOMEL'SKAJa,GOMEL',Production,0.39,0,2,0
63,13404,224.62,0,1000.0,1979-10-21,Male,High school,1732.67,24,E3,GOMEL'SKAJa,GOMEL',Construction,0.16,2,1,0
64,17044,2674.49,0,2800.0,1996-04-20,Female,High school,1294.87,60,A1,g. Minsk,Minsk,Production,0.09,0,2,1
65,10440,3515.4,0,3900.0,1981-08-09,Female,University,1745.8,60,B3,BRESTSKAJa,BREST,Public Administration,0.38,3,1,1
66,9667,698.97,0,1000.0,1980-01-18,Female,University,1407.47,24,B3,Brestskaja oblast',Baranovichi,Trade,0.04,0,2,1
67,17234,854.62,0,1000.0,1990-10-18,Male,University,1456.19,24,A3,Gomel'skaja oblast',DOBRUSh,Science and Education,0.14,1,1,1
68,11941,12971.49,0,14100.0,1992-12-22,Female,University,2241.5,60,D2,g. Minsk,MINSK,Production,0.4,0,2,0
69,13178,1869.53,0,2400.0,1976-09-13,Male,University,2499.98,24,C2,Minskaja oblast',Logojsk,Medicine and healthcare,0.4,1,2,0
70,11602,1839.9,0,2000.0,1981-03-29,Male,High school,3287.82,60,E1,Minskaja oblast',BORISOV,Production,0.4,1,1,0
71,17085,955.17,0,1000.0,1991-07-06,Female,College,1007.64,60,E1,Mogilevskaja oblast',KRIChEV,Public services,0.4,0,1,0
72,10051,746.71,33,1000.0,1990-06-03,Female,College,985.63,24,B1,BRESTSKAJa,POLESSKIJ,Agriculture,0.05,2,1,1
73,9736,4526.97,0,5000.0,1960-02-24,Female,University,630.82,60,B1,g. Minsk,MINSK,Retired,0.23,0,2,1
74,15488,7513.78,0,8000.0,1985-07-14,Male,College,1363.1,60,B3,BRESTSKAJa,RJaSNA,Transport/Logistic,0.18,2,1,0
75,10602,0.0,0,1500.0,2000-04-08,Male,College,1656.55,60,D3,Minskaja oblast',MOLODEChNO,Public Administration,0.16,0,2,0
76,17412,23162.99,0,24250.0,1996-09-30,Female,University,1802.53,60,B1,g. Minsk,MINSK,Construction,0.4,0,1,1
77,14356,10426.7,0,11050.0,1961-12-24,Male,College,821.47,60,D1,Brestskaja oblast',BARANOVIChI,Production,0.4,0,2,0
78,17047,6686.21,0,7000.0,1972-08-25,Female,High school,1471.46,60,A3,Vitebskaja oblast',POLOTsK,Trade,0.4,0,2,1
79,12799,4821.85,124,5000.0,1990-10-16,Male,University,1281.4,24,C3,Minskaja oblast',VILEJKA,Construction,0.33,0,2,0
80,13832,1124.02,0,1300.0,1989-05-28,Male,High school,1467.14,36,A3,Gomel'skaja oblast',Kalinino,Production,0.09,2,2,1
81,10695,3167.28,0,3500.0,1969-04-16,Female,College,933.03,60,B3,BRESTSKAJa,BREST,Trade,0.4,0,2,0
82,10060,1395.74,0,2000.0,1992-01-10,Female,University,1342.14,24,E3,g. Minsk,MINSK,Public Administration,0.33,2,1,0
83,16970,804.62,0,1000.0,1995-04-07,Male,College,2313.0,24,E3,g. Minsk,MINSK,Construction,0.26,0,2,0
84,17302,2277.37,0,2500.0,1987-11-18,Male,High school,1629.24,36,B1,Mogilevskaja oblast',OKTJaBR'SK,Agriculture,0.16,0,2,0
85,12064,2299.87,0,2500.0,1988-12-21,Male,University,1363.39,60,C2,Grodnenskaja oblast',SMORGON',Production,0.34,0,2,0
86,9681,1764.82,0,2000.0,1979-01-15,Male,University,1712.05,60,A3,g. Minsk,MINSK,Medicine and healthcare,0.28,1,1,1
87,18188,14000.0,0,14000.0,1988-05-02,Male,University,1622.53,60,B2,GRODNENSKAJa,GRODNO,Trade,0.27,2,1,1
88,12951,7443.22,0,8000.0,1999-03-05,Female,University,1528.16,60,B3,Minskaja oblast',Borisov,Finance and Insurance,0.18,0,2,1
89,9880,1476.49,3,2000.0,1994-03-16,Male,"Incomplete, University",2083.75,24,D2,g. Minsk,MINSK,Public services,0.19,0,2,0
90,12181,1261.44,0,1500.0,1996-05-21,Male,College,1228.95,36,D1,Minskaja oblast',BORISOV,Public Administration,0.27,0,2,0
91,18304,2000.0,0,2000.0,1994-01-24,Female,College,1663.98,24,C2,Minskaja oblast',LOGOJSK,Trade,0.22,2,1,0
92,16001,1900.0,124,1900.0,1978-09-07,Female,College,703.87,60,C3,Vitebskaja oblast',ORShA,Medicine and healthcare,0.4,1,2,0
93,9705,8329.7,0,9200.0,2002-02-02,Male,College,1700.0,60,D2,Minskaja oblast',SMOLEVIChI,Public Administration,0.36,0,2,0
94,12800,2642.06,3,2800.0,1995-12-04,Female,High school,1188.64,60,C1,Gomel'skaja oblast',KOMARIN,Production,0.4,0,1,1
95,12091,740.41,0,1000.0,1983-11-27,Male,University,1255.21,24,D1,GRODNENSKAJa,GRODNO,Transport/Logistic,0.13,1,1,0
96,12546,18140.9,0,20000.0,1994-09-22,Female,University,1779.97,60,B2,g. Minsk,MINSK,Public Administration,0.34,2,1,1
97,10115,903.19,0,1300.0,1968-01-22,Male,College,2692.47,24,C3,g. Minsk,Minsk,Transport/Logistic,0.37,0,1,0
98,13272,10716.31,0,11500.0,1981-07-31,Male,College,1425.85,60,C2,Vitebskaja oblast',STUKANY,Agriculture,0.4,0,1,0
99,16338,8548.79,0,8950.0,1975-03-10,Male,University,2406.57,60,C2,g. Minsk,Minsk,Trade,0.4,0,1,1
100,10128,6337.81,0,7000.0,1988-07-04,Female,University,1536.85,60,A1,g. Minsk,MINSK,Medicine and healthcare,0.13,1,1,1
101,13796,1887.04,3,2000.0,1982-02-28,Female,College,1320.47,60,E2,Gomel'skaja oblast',GOMEL',Production,0.22,0,1,0
102,14999,6605.13,0,7000.0,1972-07-28,Female,College,1395.85,60,B1,g. Minsk,MINSK,Medicine and healthcare,0.38,0,2,1
103,10607,5884.16,0,6500.0,1985-02-23,Female,College,770.74,60,C1,VITEBSKAJa,MAZOLOVO,Science and Education,0.25,2,2,0
104,12061,18399.24,0,20000.0,1966-04-11,Female,High school,2264.59,60,A1,g. Minsk,MINSK,Production,0.31,0,2,1
105,12074,3026.16,3,3500.0,2004-06-20,Male,High school,850.79,36,A3,g. Minsk,Minsk,Production,0.4,0,2,1
106,15356,18871.85,0,20000.0,1990-11-01,Male,College,3206.06,60,D3,Brestskaja oblast',ZhABINKA,Transport/Logistic,0.4,2,1,0
107,15931,1532.06,0,4500.0,1999-04-08,Male,University,2000.0,60,B2,g. Minsk,Minsk,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.25,0,2,1
108,15643,8879.32,0,10000.0,1989-02-05,Female,College,2538.68,36,A1,Minskaja oblast',Soligorsk,Agriculture,0.16,2,2,0
109,14691,887.92,0,1000.0,1978-12-29,Female,College,660.16,36,B3,Vitebskaja oblast',VJaTERO,Production,0.37,0,1,1
110,10195,2716.22,0,3000.0,1985-03-12,Female,College,1829.27,60,E3,MINSKAJa OBLAST',SLUTsK,Trade,0.39,0,2,0
111,13902,778.98,0,1000.0,1989-11-29,Female,High school,3027.83,24,B3,Mogilevskaja oblast',KRASNOPOL'E,Public services,0.18,0,2,1
112,17888,929.09,0,1000.0,2003-09-16,Male,College,1988.12,24,C1,g. Minsk,MINSK,Production,0.19,0,2,1
113,14781,18857.67,0,20000.0,1996-08-23,Male,University,2712.84,60,B3,g. Minsk,Minsk,Trade,0.33,2,1,1
114,13496,5187.69,0,6000.0,1974-04-23,Male,College,874.33,36,D1,VITEBSKAJa,VITEBSK,Trade,0.35,0,1,0
115,9577,1907.75,95,2000.0,1987-03-05,Female,College,593.73,60,C2,BRESTSKAJa,HOTYNIChI,Agriculture,0.1,3,1,0
116,16924,7565.55,0,8000.0,1986-09-25,Female,High school,1800.36,60,C1,g. Minsk,Minsk,Trade,0.38,1,2,0
117,12255,14347.48,0,20000.0,1991-04-23,Male,University,2237.43,60,B1,g. Minsk,MINSK,Production,0.3,0,1,1
118,12890,4286.55,0,4600.0,1996-02-05,Male,High school,2214.48,60,C3,Minskaja oblast',BORISOV,Production,0.4,2,2,0
119,10049,905.38,0,1000.0,2002-10-07,Male,College,924.88,60,C1,BRESTSKAJa,BREST,Trade,0.37,0,2,0
120,10162,12041.79,0,13300.0,1987-03-20,Female,University,1679.74,60,C2,g. Minsk,MINSK,Public services,0.4,0,1,1
121,12448,4139.84,0,4500.0,1977-10-29,Male,College,2748.27,60,C3,g. Minsk,MINSK,Transport/Logistic,0.2,1,2,0
122,14266,1331.87,3,1500.0,1982-08-28,Female,High school,729.9,36,B3,Vitebskaja oblast',ZADOROZh'E,Science and Education,0.08,1,1,1
123,16137,1814.64,3,1900.0,1998-01-15,Female,High school,718.86,60,E1,BRESTSKAJa,NOVOSELKI,Trade,0.4,1,2,0
124,15217,2663.81,0,3000.0,1979-07-27,Male,College,1225.58,36,B1,g. Minsk,Minsk,Construction,0.4,0,1,0
125,10114,1193.05,3,1300.0,2003-07-10,Female,"Incomplete, University",975.68,60,D3,VITEBSKAJa,VITEBSK,Trade,0.4,0,2,0
126,16606,2865.54,0,3000.0,1974-01-29,Male,High school,1165.71,60,C1,Vitebskaja oblast',Kamenpol'e,Agriculture,0.3,0,1,1
127,15306,943.59,0,1000.0,1997-05-17,Male,College,2221.12,60,E2,Grodnenskaja oblast',KORELIChI,Medicine and healthcare,0.2,0,2,0
128,10687,1747.43,0,2500.0,1984-03-24,Female,University,889.93,24,B1,MINSKAJa,LESNOJ,Science and Education,0.36,1,1,1
129,17472,35574.64,0,37250.0,1985-08-28,Male,University,2768.0,60,B1,g. Minsk,MINSK,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,1,1,1
130,15137,3343.12,33,3500.0,1985-08-20,Female,College,523.21,60,C3,Minskaja oblast',VILEJKA,Trade,0.2,1,1,1
131,9706,3771.27,3,4500.0,1989-01-10,Male,University,868.0,36,A1,Vitebskaja oblast',VITEBSK,Science and Education,0.21,0,1,1
132,14218,817.05,3,1000.0,1997-04-13,Male,College,2732.97,24,D1,MINSKAJa,POTEJKI,Public services,0.15,0,2,0
133,10918,3621.59,0,4000.0,1998-06-05,Female,University,2490.44,60,B2,g. Minsk,Minsk,Finance and Insurance,0.05,0,2,1
134,16506,3820.7,0,4000.0,1998-06-10,Male,College,1760.0,60,E1,Brestskaja oblast',MALAJa VOLOHVA,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.39,0,2,0
135,13356,1886.32,0,2850.0,1986-06-16,Male,College,974.67,36,B2,Minskaja oblast',OZERO,Production,0.21,2,2,0
136,15640,1698.48,0,1800.0,2000-11-30,Male,College,954.77,60,C3,Minskaja oblast',DUShEVO,Agriculture,0.25,1,1,0
137,13254,6925.21,0,7500.0,1970-11-29,Male,College,1242.39,60,C3,BRESTSKAJa,MOTOL',Agriculture,0.18,1,2,0
138,11452,909.67,0,1000.0,1976-04-26,Male,College,2307.57,60,C2,Brestskaja oblast',TIUNTsY,Trade,0.18,0,1,0
139,16427,5730.3,0,6000.0,1975-05-22,Female,University,1540.56,60,E2,Brestskaja oblast',PINSK,Trade,0.3,0,1,0
140,8914,814.46,0,1000.0,1981-09-23,Female,High school,615.8,36,D2,Grodnenskaja oblast',POLIPNITsA,Science and Education,0.1,0,1,0
141,13754,4323.05,0,5000.0,1985-01-27,Male,College,1752.15,36,D1,Gomel'skaja oblast',TUROV,Public services,0.35,0,2,0
142,17700,19353.55,0,20000.0,1992-11-18,Female,University,2150.0,60,B3,g. Minsk,Minsk,Finance and Insurance,0.29,0,2,1
143,14024,3963.06,3,4200.0,1983-07-11,Male,College,534.6,60,C2,MOGILEVSKAJa,MOGILEV,Public services,0.4,1,1,0
144,17931,1432.72,0,1500.0,1992-05-29,Male,High school,1618.46,36,B2,g. Minsk,Minsk,Trade,0.04,0,2,1
145,18143,1385.13,0,1400.0,1991-12-25,Male,College,1565.0,60,B1,VITEBSKAJa,VITEBSK,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.35,0,2,1
146,13747,5777.52,0,6200.0,1999-07-16,Male,University,2025.2,60,C2,Brestskaja oblast',BARANOVIChI,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,0,2,1
147,17115,891.69,3,1000.0,2001-09-09,Male,High school,4564.69,24,D3,GRODNENSKAJa,GRODNO,Trade,0.17,0,2,0
148,17612,237.46,0,1500.0,1981-10-04,Male,University,3018.0,24,C1,BRESTSKAJa,BREST,Production,0.1,1,1,1
149,14422,4408.75,0,5000.0,1995-06-22,Male,University,615.06,60,C1,g. Minsk,Minsk,Production,0.38,1,1,0
150,15418,0.0,0,6000.0,1999-07-09,Female,College,1616.58,60,B1,Minskaja oblast',ZAOSTROVECh'E,Medicine and healthcare,0.35,0,2,1
151,15041,2736.43,0,2900.0,1978-07-12,Male,College,1818.74,60,E3,GOMEL'SKAJa,KRASNOE,Trade,0.4,1,1,0
152,18047,4946.89,0,5000.0,1999-11-14,Female,University,1160.99,60,C1,BRESTSKAJa,BREST,Science and Education,0.25,0,1,1
153,11446,3219.88,0,3500.0,1994-04-05,Male,College,2734.96,60,C3,g. Minsk,MINSK,Production,0.2,0,1,0
154,12463,1011.97,0,1100.0,1996-04-09,Male,"Incomplete, University",1810.4,60,C3,Mogilevskaja oblast',ShKLOV,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,1,1,1
155,10893,2587.79,33,3000.0,1965-08-06,Male,College,1474.23,36,C1,GRODNENSKAJa,VASILEVIChI,Agriculture,0.25,0,2,0
156,10829,3983.79,0,4400.0,1998-10-16,Male,High school,2414.21,60,C3,g. Minsk,MINSK,Production,0.4,0,2,0
157,11518,1800.0,0,2250.0,2001-12-16,Female,High school,570.67,60,C1,g. Minsk,MINSK,Trade,0.4,1,1,1
158,13587,1642.35,0,1900.0,1988-11-28,Female,College,1556.61,36,D3,Vitebskaja oblast',BARAN',Transport/Logistic,0.4,2,1,0
159,16742,955.17,0,1000.0,1990-11-30,Female,University,3472.59,60,C3,g. Minsk,MINSK,Finance and Insurance,0.4,0,2,1
160,13744,2150.0,0,2500.0,1994-11-05,Female,University,1619.93,60,C3,g. Minsk,MINSK,Finance and Insurance,0.26,0,1,1
161,16329,8119.0,0,8500.0,1972-01-05,Female,College,1855.57,60,C1,MINSKAJa,NAROCh',Agriculture,0.14,0,1,1
162,16848,3534.13,0,3700.0,1994-04-21,Female,University,1759.94,60,C1,Minskaja oblast',STOLBTsY,Production,0.4,0,2,1
163,12042,919.95,0,1000.0,2001-07-25,Male,College,1400.0,60,B3,Minskaja oblast',MAR'INA GORKA,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.31,0,2,1
164,18003,6920.32,0,7000.0,1993-04-24,Female,College,1659.03,60,A1,g. Minsk,MINSK,Construction,0.13,0,2,1
165,16902,10697.67,0,11200.0,1962-10-20,Male,College,1141.56,60,A3,MOGILEVSKAJa,MOGILEV,Production,0.4,0,1,1
166,16334,5322.61,0,6000.0,1970-04-25,Female,College,1139.58,60,B3,g. Minsk,MINSK,Public services,0.16,0,2,0
167,16535,4775.87,0,5000.0,1981-04-02,Female,University,989.2,60,B1,Mogilevskaja oblast',Chausy,Construction,0.15,1,1,1
168,16103,1994.51,0,10500.0,2004-01-03,Male,College,1755.72,60,C2,Minskaja oblast',SLUTsK,Agriculture,0.26,0,2,0
169,13827,1287.48,3,1450.0,1993-06-05,Male,University,3293.97,36,D1,g. Minsk,MINSK,Trade,0.4,1,1,0
170,13463,2900.0,156,2900.0,1977-08-04,Female,College,1088.45,60,D1,GOMEL'SKAJa,AZDELINO,Agriculture,0.18,0,2,0
171,10275,2518.46,0,2800.0,1989-09-20,Female,University,1323.34,60,C2,g. Minsk,MINSK,Science and Education,0.36,0,2,0
172,9336,6609.44,0,7300.0,1981-05-12,Male,College,2527.54,60,B2,g. Minsk,MINSK,Construction,0.4,2,1,0
173,12790,1585.3,0,3500.0,1989-10-15,Male,University,1792.26,36,A1,Minskaja oblast',MAR'INA GORKA,Information Technology,0.08,0,2,1
174,12454,5979.73,0,6500.0,1975-10-18,Male,College,1867.8,60,D2,Minskaja oblast',Dzerzhinsk,Production,0.36,1,2,0
175,13763,9784.46,0,10500.0,1987-09-19,Female,College,783.85,60,A3,Vitebskaja oblast',ORShA,Trade,0.4,0,2,0
176,11747,2756.1,0,3000.0,1996-12-29,Female,College,590.88,60,D1,Mogilevskaja oblast',KRASNOPOL'E,Medicine and healthcare,0.38,1,1,0
177,12479,977.88,124,1000.0,1973-01-30,Male,College,760.25,60,C3,VITEBSKAJa,BEREZKI,Agriculture,0.29,0,2,0
178,15148,14153.88,0,15000.0,1994-04-05,Male,College,2180.39,60,C1,Minskaja oblast',BOL'ShEVIK,Trade,0.33,0,1,1
179,10103,1358.07,0,1500.0,1995-12-21,Male,College,1289.76,60,C1,GRODNENSKAJa,GRODNO,Medicine and healthcare,0.4,0,2,1
180,12075,919.95,0,1000.0,1984-09-09,Male,College,2849.5,60,D3,g. Minsk,MINSK,Transport/Logistic,0.33,3,1,0
181,18018,16902.69,0,17100.0,1994-03-26,Female,University,1567.68,60,A1,g. Minsk,MINSK,Medicine and healthcare,0.4,0,1,1
182,14235,4109.18,0,5200.0,1971-05-16,Male,College,1885.12,60,B3,MINSKAJa,ZABOLOT'E,Production,0.16,0,2,0
183,14886,2387.92,33,2500.0,1999-08-26,Female,"Incomplete, University",1198.0,60,E2,g. Minsk,Minsk,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.22,0,2,0
184,15404,4717.96,0,5000.0,1971-01-28,Male,College,1739.69,60,A2,MINSKAJa,MIHANOVIChI,Production,0.25,0,1,1
185,11987,2795.59,3,3000.0,2001-07-16,Male,"Incomplete, University",1700.0,60,D3,Minskaja oblast',BYTChA,Ministry of Internal Affairs/Ministry of Emergency Situations/Ministry of Defense,0.4,0,2,0
186,17438,1432.75,0,1500.0,1969-01-09,Female,University,1736.48,60,D3,g. Minsk,MINSK,Trade,0.28,0,2,0
187,16781,2865.54,0,3000.0,1998-02-08,Male,University,2616.71,60,D3,Vitebskaja oblast',SENNO,Construction,0.16,0,2,0
188,15438,817.05,0,1000.0,1993-10-05,Female,High school,984.03,24,A3,Gomel'skaja oblast',ROGAChEV,Trade,0.18,2,2,1
189,15390,7076.92,0,7500.0,1973-09-06,Female,College,1898.23,60,C1,Vitebskaja oblast',BOGUShEVSK,Production,0.12,1,2,1
