Vmag,Plx,e_Plx,B-V,SpType,Amag,target
7.15,5.0,0.9,1.2,K3III,15.64485,1
8.54,9.06,1.2,0.4,F5V,18.325642,0
7.98,8.2,1.06,0.343,A9IV/Vw...,17.549068,0
9.74,17.52,1.8,0.821,K0V,20.95767,0
7.06,11.33,0.85,0.458,F3V,17.33115,0
8.71,2.15,1.15,1.074,K0III,15.372192,1
8.64,4.06,1.12,0.405,A8/F0V + (F),16.68263,0
8.15,3.45,1.09,1.026,K0III,15.839095,1
8.61,6.13,0.73,0.494,F5V,17.547302,0
8.63,3.56,1.27,1.234,K1III,16.387249,1
9.11,17.51,1.25,0.737,K1/K2III+..,20.326431,1
7.62,1.98,0.72,1.572,M1III,14.103326,1
9.69,19.37,0.9,0.913,K1/K2V:,21.125648,0
6.89,1.05,0.79,0.04,B5V,11.995947,0
7.48,13.01,0.58,0.534,F6V,18.051386,0
6.35,7.35,0.74,1.222,K2/K3III,15.681437,1
8.87,8.72,2.16,0.592,G1V,18.572582,0
8.38,0.02,1.26,0.038,B2IV,4.88515,0
6.96,5.98,0.62,1.125,K1III,15.843506,1
9.81,7.14,2.03,0.5,F8V,19.078491,0
9.1,-0.56,1.46,0.891,G8IV,12.84094,0
8.75,4.39,1.3,0.44,F2V,16.962322,0
7.77,5.2,0.94,0.989,K0IV,16.350018,0
9.3,7.31,1.4,0.546,F0V,18.619587,0
9.44,3.44,1.88,0.064,A0V,17.122791,0
8.73,5.03,0.95,0.205,A0/A1IVp...,17.237839,0
4.63,10.12,0.43,1.185,K0II-III SB,14.655902,1
7.55,2.92,0.73,1.607,M0III,14.876914,1
8.39,5.51,0.8,0.349,F0IV,17.095758,0
8.56,0.77,1.23,1.365,K2III,12.992455,1
8.27,10.72,0.8,0.608,G1V,18.420975,0
7.86,2.34,0.92,0.141,B9III,14.7060795,1
6.18,7.91,0.92,0.128,A4V,15.670881,0
3.61,20.45,0.79,-0.1,B8Vn,15.163466,0
8.4,2.56,1.05,1.019,G8III/IV,15.441199,0
8.43,4.33,0.67,0.5,F5IV,16.61244,0
7.7,5.89,0.62,0.151,A5V,16.550575,0
4.24,4.37,0.8,-0.168,B2III-IV,12.442408,0
6.51,6.31,0.88,0.141,B8V,15.510147,0
6.55,10.41,0.93,-0.036,A0V,16.637253,0
8.41,1.91,1.24,1.026,G8III/IV,14.815166,0
8.53,3.96,0.73,0.065,A1V,16.518476,0
8.79,2.51,1.22,1.14,K2III,15.788368,1
7.11,0.41,0.83,0.738,F3Ib,10.17392,1
7.86,3.21,0.66,1.015,G6III,15.392525,1
5.69,6.56,0.5,-0.037,B9V,14.774519,0
6.94,3.1,0.77,1.511,K2III,14.396809,1
7.91,7.25,0.6,0.317,A8V,17.211689,0
7.76,17.28,0.99,0.658,G3/G5V,18.947718,0
9.84,3.97,0.96,0.377,F2/F3IV/V,17.833954,0
8.68,0.04,0.96,1.026,G8III,6.6903,1
8.83,3.61,1.14,1.028,G8III/IV,16.617537,0
8.07,5.24,1.0,1.14,K2III,16.666656,1
6.6,13.23,0.97,0.556,F7V,17.2078,0
8.4,34.98,1.16,0.936,K3V,21.119099,0
7.66,12.58,0.93,0.488,F6V,18.158403,0
9.01,4.83,1.41,1.048,G8/K0IV,17.429735,0
6.95,8.33,0.72,0.261,F0III,16.553225,1
8.75,3.81,1.35,0.223,A0V,16.654625,0
8.07,0.76,1.05,1.054,K0III+...,12.474068,1
8.92,5.47,1.32,0.858,G8IV,17.609936,0
8.02,2.37,0.64,0.172,A0IV,14.893742,0
7.84,1.6,0.84,-0.028,B7II,13.8606,1
8.16,12.28,1.1,0.633,G3V,18.605991,0
8.04,13.38,1.1,0.453,F5V,18.672281,0
9.88,2.04,1.17,0.985,G8/K0IV/V,16.42815,0
7.2,2.04,1.02,-0.085,B3IV/V,13.748151,0
7.27,23.58,2.09,0.599,G1/G2V,19.132719,0
7.89,2.07,0.98,-0.102,B5V,14.4698515,0
7.86,1.9,1.07,0.098,B9.5IV,14.253769,0
8.24,3.61,0.97,0.21,A0IV/V,16.027536,0
8.85,3.73,0.93,1.137,K2III,16.708546,1
9.49,12.59,1.58,0.56,G3V,19.990128,0
8.78,9.17,1.35,0.463,F5V,18.591846,0
5.59,16.64,3.12,0.072,B9V,16.695766,0
9.33,8.25,1.22,0.676,G6V,18.91227,0
8.9,4.35,1.27,1.054,K1III,17.092445,1
9.56,10.44,1.44,0.555,F8/G0V,19.653503,0
9.22,4.29,0.87,0.627,G1IV,17.382286,0
5.91,9.98,0.53,0.107,A4V,15.905652,0
6.77,8.97,0.66,0.083,A2IV/V,16.533962,0
6.86,19.88,1.03,0.459,F5V,18.352081,0
7.77,1.56,0.85,1.659,M0III,13.735622,1
5.68,14.22,0.87,0.501,F6V+...,16.444498,0
9.07,12.3,2.03,1.0,K1IV/V,19.519526,0
9.0,8.59,1.13,0.452,F5IV,18.669966,0
8.18,0.82,1.24,1.691,K3III,12.749069,1
7.69,17.91,0.65,1.061,K1VCN...,18.955479,0
6.69,2.93,0.74,1.077,K1III,14.024338,1
6.71,3.96,0.76,1.526,K4/K5III,14.698477,1
8.7,0.34,1.46,0.042,A0V,11.357394,0
6.38,17.95,0.55,0.894,K0III/IV,17.650322,0
7.29,8.03,0.93,0.103,A2V,16.813578,0
6.51,3.39,0.77,0.528,F0V,14.160999,0
7.98,6.93,0.95,0.14,A3V,17.183666,0
8.87,7.58,1.05,0.828,G8/K0V,18.268345,0
7.82,8.16,1.19,0.287,A8V,17.37845,0
7.47,4.33,0.96,0.24,A6V,15.652439,0
8.17,7.97,1.03,0.387,F2V,17.677292,0
7.55,6.66,0.66,0.057,A1V,16.66737,0
9.03,13.74,1.42,0.689,G5V,19.719933,0
6.18,17.35,0.78,0.166,A3V,17.376497,0
7.49,4.04,1.05,1.237,K0III,15.521907,1
8.06,1.27,1.05,0.05,B1V:nn,13.57902,0
6.54,6.88,1.36,0.998,F8V...,15.727942,0
7.62,5.55,0.74,0.855,G5III,16.341465,1
7.88,15.7,1.01,0.564,F8V,18.859499,0
7.42,3.03,0.86,1.176,K1III,14.827213,1
7.76,18.8,1.09,0.7,G6V,19.13079,0
9.02,14.99,0.82,0.696,G3V,19.89901,0
4.06,19.26,1.05,1.158,K2III,15.483282,1
6.48,4.53,0.55,1.48,K5/M0III,14.76049,1
7.67,2.74,0.85,-0.014,B9IV,14.858753,0
7.38,8.77,0.89,0.139,A3V,17.094997,0
5.88,14.24,0.49,1.086,K1IV,16.64755,0
11.38,34.1,7.62,1.456,M2V,24.043774,0
9.02,2.58,1.25,1.353,K2III,16.078098,1
8.72,10.52,1.26,0.536,F7V,18.830078,0
4.42,12.31,0.83,0.046,A2Vn,14.87129,0
8.49,13.16,1.04,0.575,F8V,19.08628,0
5.51,9.58,0.93,0.962,G8III,15.416827,1
9.48,11.73,1.91,0.552,F6V,19.826488,0
7.84,3.27,0.97,0.896,G5III,15.412739,1
8.3,11.47,0.69,0.438,F5IV,18.597816,0
8.18,1.68,0.92,-0.01,B9V,14.306547,0
9.32,7.79,0.94,0.554,F7V,18.777687,0
8.89,1.57,0.78,1.038,K0III,14.869499,1
7.95,3.58,1.06,1.17,K0IV,15.719416,0
10.25,3.74,1.75,0.457,A1/A2V:,18.114359,0
8.07,4.4,0.81,0.939,K0III,16.287262,1
8.88,3.79,1.2,0.429,F0V,16.773197,0
9.03,6.25,1.34,0.599,G0V,18.0094,0
8.26,3.44,0.92,0.39,F0V,15.942792,0
9.07,10.6,1.33,0.585,G2/G3V,19.19653,0
8.23,0.28,0.84,-0.15,B3V,10.46579,0
8.34,0.75,1.1,1.488,K4/K5IIIp..,12.715306,1
8.21,3.04,0.64,0.046,B9.5V,15.624368,0
8.85,9.14,1.28,0.558,F8IV,18.654732,0
8.79,5.08,1.31,0.194,A6V,17.319319,0
6.8,5.2,0.62,-0.037,B9IV/V,15.380017,0
8.62,23.35,1.32,0.708,G5V,20.461433,0
9.41,2.15,2.28,0.299,B9III,16.072193,1
7.25,18.15,1.23,0.498,F7V,18.544384,0
9.03,3.72,0.86,0.451,F5IV,16.882713,0
7.74,14.64,0.91,0.465,F5V,18.567705,0
9.31,8.13,1.4,0.457,F3V,18.860455,0
8.5,6.92,0.96,0.435,F2V,17.700531,0
7.78,2.61,1.2,0.057,B9IV,14.863203,0
10.04,7.95,1.64,0.716,G6V,19.541836,0
9.14,0.67,1.25,1.486,K3III,13.270374,1
9.79,3.37,1.48,1.0,G9III,17.42815,1
6.23,3.25,0.57,1.314,K0III,13.789417,1
10.12,5.05,1.7,0.516,F7V,18.636456,0
9.2,9.8,1.68,0.526,F8V,19.15613,0
7.56,0.98,0.61,-0.139,B3V,12.51613,0
7.37,4.11,1.09,0.924,G6III,15.439209,1
7.09,6.45,0.66,1.013,K0III,16.137798,1
8.32,11.96,0.89,0.656,G3V,18.708656,0
8.5,2.11,0.9,0.053,A0V,15.121412,0
7.76,50.84,1.04,0.893,G8V,21.291027,0
9.1,2.77,1.29,0.187,A7IV/V,16.3124,0
9.33,9.03,0.92,0.74,G3/G5IV/V,19.108438,0
4.85,6.14,0.66,-0.051,A0V,13.790842,0
7.19,1.98,0.62,-0.168,B2III,13.6733265,1
8.43,3.24,1.15,1.547,K3III,15.982725,1
9.28,3.58,1.29,0.137,A0V,17.049416,0
9.0,5.3,2.28,-0.3,F5V,17.62138,0
9.33,8.87,1.82,0.771,G8V,19.069618,0
4.6,11.77,0.79,-0.087,B8V,14.953882,0
8.1,5.21,0.65,0.501,F5V,16.684189,0
9.27,3.45,0.98,1.065,K0III,16.959095,1
8.73,15.32,1.34,0.707,K0V+...,19.656294,0
7.79,11.62,0.95,0.377,F0/F2IV,18.116032,0
7.53,5.9,0.63,0.45,F3IV/V,16.38426,0
8.14,2.28,0.7,0.043,B9V,14.929674,0
9.48,9.61,1.91,0.498,F3V,19.393616,0
9.39,4.88,0.88,0.469,F5V,17.8321,0
8.9,2.18,1.56,1.027,G8III,15.592282,1
8.02,9.89,1.74,0.447,F3V,17.995983,0
8.18,2.57,1.01,1.45,K2/K3III,15.229666,1
8.53,5.19,1.25,1.154,G8IV,17.105835,0
9.08,3.36,1.21,0.944,G8IV,16.711697,0
8.56,9.22,1.25,0.486,F5V,18.383656,0
8.1,5.77,0.98,0.328,A9V,16.90588,0
8.44,6.98,0.86,0.45,F3V,17.659275,0
9.28,4.91,1.26,0.569,G0V,17.735409,0
11.9,78.05,5.69,1.85,M5Ve,26.361866,0
8.91,2.58,1.18,1.4,K3II/III,15.968098,1
6.06,14.22,1.02,1.119,K3III,16.8245,1
7.02,5.72,0.86,0.168,A3III,15.80698,1
10.68,-0.24,1.78,-0.028,B3IV,12.581057,0
9.43,7.26,1.2,0.64,G3/G5V,18.734684,0
7.4,6.55,0.86,0.064,A1Vn...,16.481207,0
6.86,9.56,0.79,0.139,A3V,16.76229,0
8.18,0.88,1.11,1.6,M2/M3III,12.902414,1
9.3,13.39,1.6,0.727,K1/2V + (G),19.933903,0
5.99,4.2,0.66,-0.02,B6V,14.106246,0
8.78,7.72,0.97,0.44,F3V,18.218086,0
8.73,2.51,0.69,-0.039,B9V,15.728368,0
7.62,7.21,0.75,0.04,A1V,16.909676,0
8.8,11.02,1.28,0.594,G0V,19.010906,0
6.69,6.39,0.78,0.156,A1IV/V,15.7175045,0
8.88,2.79,0.86,1.164,K2III,16.10802,1
7.83,3.05,0.69,1.21,G8/K0III,15.251499,1
6.99,1.68,0.52,-0.155,B2IV,13.116547,0
9.44,13.19,1.23,0.766,K0V,20.041224,0
8.94,2.01,0.94,1.086,K0/K1III:,15.45598,1
9.22,7.31,2.7,0.583,F7/F8V,18.539587,0
10.07,5.68,1.69,0.752,G3/G5V:,18.841742,0
6.43,11.65,0.91,0.274,F0V,16.76163,0
6.7,3.89,1.31,-0.009,B5V:p SB,14.649748,0
6.68,5.5,0.53,0.908,G8IV,15.381813,0
6.2,23.54,0.76,0.482,F5V,18.059032,0
8.63,8.55,0.94,0.481,F3V,18.28983,0
9.35,4.82,2.06,0.6,F5/F6V,17.765236,0
11.76,1.68,4.25,0.49,B6V,17.886547,0
8.97,9.23,1.19,0.644,G5V,18.79601,0
4.37,2.14,0.63,-0.164,B2IV,11.022069,0
8.76,3.32,1.47,0.399,F0V,16.36569,0
7.33,14.08,0.8,0.453,F3/F5V,18.073013,0
11.54,21.7,3.39,1.34,K7V:,23.222298,0
6.6,6.27,0.49,0.03,A1/A2V,15.586338,0
7.0,5.88,0.54,1.208,K1/K2III,15.846887,1
7.51,11.65,0.91,0.429,F3V,17.841629,0
8.25,5.71,1.01,0.364,F0IV,17.03318,0
8.05,10.41,1.56,0.533,F3/F5V,18.137253,0
6.59,1.59,0.91,-0.028,B2IV-V,12.596986,0
7.92,6.35,0.98,0.551,F5V,16.933868,0
9.69,1.29,1.45,0.47,F0V,15.242949,0
8.7,3.44,1.13,1.458,K2IV/V:,16.382792,0
8.53,19.61,1.54,0.625,G3V,19.992388,0
10.18,-3.17,3.58,0.105,B9.5V,17.685297,0
9.33,2.23,0.99,0.215,A2/A3V,16.071524,0
7.07,-0.6,0.97,-0.142,B2V,10.960756,0
7.39,4.94,0.82,-0.044,A0V,15.858635,0
7.82,4.15,0.96,0.254,A5IV,15.91024,0
7.7,3.96,0.88,0.378,A9III,15.688477,1
8.57,0.65,0.78,0.124,B3Ve,12.634566,0
6.93,13.66,0.55,0.38,F3IV/V,17.607254,0
9.34,6.97,1.19,0.648,G2/G3V,18.556164,0
10.12,13.1,1.49,0.762,K0V,20.706356,0
8.66,4.57,0.91,0.54,F7V,16.95958,0
7.78,6.05,0.93,0.175,A2V,16.688778,0
9.53,2.93,1.55,0.403,F0V,16.864338,0
9.53,5.43,1.47,0.518,F8V,18.203999,0
7.22,2.09,0.94,0.778,G8/K0III+..,13.820732,1
8.17,4.69,1.66,0.36,F2V,16.525864,0
6.36,6.85,0.55,1.038,K0III,15.538452,1
10.46,1.07,2.11,0.506,F3V,15.606918,0
7.7,9.52,1.07,0.559,F5V,17.593185,0
8.75,-0.57,1.19,1.514,K4/K5III,12.529374,1
7.66,9.2,0.84,0.308,A8IV+...,17.47894,0
7.7,5.67,0.91,0.213,A5V,16.467915,0
9.05,10.9,1.21,0.56,F7V,19.237133,0
9.6,4.04,3.9,0.946,G8V,17.631908,0
6.29,7.33,0.8,-0.008,A0V,15.61552,0
7.31,10.84,1.21,0.463,F6V,17.485147,0
6.05,38.77,0.63,0.708,G3/G5V,18.992477,0
9.28,6.08,1.31,0.682,G5V,18.199516,0
8.03,10.8,0.85,0.451,F5V,18.19712,0
7.13,7.37,0.79,0.996,G8III/IV,16.467339,0
9.66,4.92,1.77,0.456,F2/F3V,18.119825,0
8.56,229.33,1.08,1.462,M2V,25.362305,0
5.93,7.07,0.95,-0.007,A0V + B,15.177097,0
9.2,0.5,1.13,0.931,G8/K0III,12.694849,1
8.27,6.62,1.01,0.45,F5V,17.37429,0
9.56,1.68,1.41,0.465,F0IV/V,15.686546,0
7.61,17.16,0.95,0.427,K0III,18.782587,1
6.77,5.46,0.93,0.169,A6Vn,15.455963,0
9.92,21.73,1.73,0.985,K2/K3V:,21.605299,0
7.82,3.69,0.64,-0.079,B8V,15.655132,0
8.68,6.57,1.44,0.595,G3V,17.767828,0
9.85,25.08,1.92,1.103,K5V,21.846638,0
9.79,6.07,2.24,0.394,F3/F5V,18.705944,0
5.7,7.35,0.53,-0.032,A0V,15.031437,0
7.35,3.59,0.86,0.038,B9V,15.125473,0
9.09,1.94,1.34,1.126,K0/K1III,15.529009,1
6.45,7.87,0.6,0.858,G6III,15.929873,1
6.15,6.68,0.68,0.008,A0V,15.273882,0
8.18,4.39,1.49,0.322,A7V,16.392323,0
6.92,8.7,1.4,0.125,A3III,16.617596,1
9.48,6.29,1.0,0.563,F8/G0V,18.473251,0
8.54,10.78,1.17,0.516,F5V,18.703094,0
7.0,4.18,0.77,-0.016,B9III,15.105881,1
8.69,5.22,2.21,0.331,F0V,17.27835,0
9.93,-2.58,1.72,1.018,G6IV:,16.988098,0
6.71,4.45,0.91,0.879,G5III,14.9518,1
7.66,4.36,0.86,0.955,G6/G8III,15.857432,1
9.56,4.3,1.27,0.026,A0V,17.727343,0
8.03,26.94,0.82,0.585,G0V,20.181988,0
8.26,11.16,0.93,0.516,G0V,18.498322,0
7.85,6.91,2.88,0.521,F7V,17.04739,0
5.97,22.46,0.89,0.478,F7IV,17.727049,0
7.88,6.7,0.65,0.368,F2IV/V,17.010374,0
7.01,29.65,0.71,0.567,F8V,19.370125,0
6.81,24.98,0.87,0.504,F5/F6V,18.797962,0
8.71,7.87,1.19,0.444,F3/F5V,18.189873,0
7.17,2.93,1.07,1.567,M1II,14.504338,1
9.95,-3.05,1.68,0.266,B1V,17.371498,0
7.94,4.54,0.72,0.353,F2/F3V,16.225279,0
8.99,15.93,1.15,0.627,G5V,20.001078,0
6.99,31.77,0.85,0.581,G0V,19.500086,0
8.46,22.95,1.06,0.646,G3V,20.263912,0
6.83,66.29,6.81,0.779,K0V,20.937239,0
7.49,2.81,1.34,1.616,M4III:,14.733532,1
6.33,17.36,0.78,0.454,F6IV,17.527748,0
8.55,4.51,0.75,0.364,F0V,16.820883,0
7.97,2.53,0.96,0.148,A2IV,14.985602,0
8.48,5.4,1.32,0.494,F3V,17.141968,0
8.26,1.58,1.04,-0.14,B2III,14.253286,1
8.8,2.12,0.81,1.049,G8IIICN...,15.43168,1
7.53,4.42,0.85,0.951,G8III/IV,15.757111,0
7.83,4.14,0.71,0.926,G8III,15.915002,1
9.58,3.71,1.07,0.41,F2V,17.42687,0
5.89,14.18,0.85,0.147,A6V,16.64838,0
7.94,-0.45,1.14,1.943,M1II,11.206062,1
8.67,6.31,0.93,0.427,F2IV,17.670147,0
7.34,4.38,0.56,0.098,A1IV/V,15.547371,0
9.81,1.26,1.53,0.429,F0V,15.311853,0
8.66,9.45,1.12,0.565,F8V,18.537159,0
9.6,9.55,1.38,0.679,G3V,19.500017,0
5.75,5.72,1.1,0.546,F2V:+...,14.53698,0
8.26,7.87,0.76,0.334,F0V,17.739874,0
9.45,12.91,1.28,0.81,G8V,20.004631,0
8.92,2.21,1.1,0.662,G0V,15.641962,0
7.71,3.94,0.93,0.025,A0V,15.687481,0
10.0,11.52,2.2,0.74,G8IV/V,20.307262,0
8.9,4.56,0.82,0.198,A4V,17.194824,0
9.17,2.94,1.21,0.955,G8III/IV,16.511738,0
8.89,13.85,1.16,0.659,G3V,19.59725,0
8.94,2.2,1.16,-0.06,B9V,15.652113,0
8.05,5.53,0.7,0.352,F0IV/V,16.763626,0
9.44,5.95,1.42,0.635,F3V,18.312584,0
8.49,12.69,2.86,0.607,G1/G2V,19.007309,0
8.4,2.7,1.11,1.07,K0IV,15.556819,0
8.51,6.2,1.12,0.521,F5V,17.471958,0
6.97,3.08,0.71,1.52,K7Iab:,14.412753,1
9.16,4.06,1.28,0.512,F0/F2IV,17.20263,0
8.88,4.62,1.05,0.977,G8III/IV,17.203209,0
9.81,32.25,1.65,1.12,K5V,22.35265,0
7.43,1.22,0.87,-0.012,B5III,12.861799,1
8.87,0.75,1.32,0.094,A0V,13.245306,0
8.06,4.42,0.64,-0.038,B9V,16.287111,0
8.65,0.03,1.21,0.061,A0/A1V,6.035606,0
9.69,3.79,3.55,0.496,F6V,17.583195,0
7.81,16.4,0.7,0.483,F5V,18.884218,0
7.99,7.41,1.33,0.54,F7V,17.33909,0
8.88,0.9,1.15,0.983,G5/G6IV/V,13.651213,0
7.97,9.76,1.49,0.85,G6V,17.91725,0
7.8,-1.47,0.79,1.703,K3III,13.636587,1
8.3,3.72,1.4,1.025,K0IV,16.152714,0
6.78,6.21,0.9,-0.008,A0IV,15.745459,0
5.79,9.52,0.73,-0.064,B8/B9V,15.683185,0
9.19,6.01,1.4,0.56,A1IV,18.084373,0
8.16,1.54,0.83,1.042,K0III,14.097604,1
8.41,8.17,1.21,0.46,F3V,17.971111,0
8.54,1.87,1.04,0.01,B8V,14.899208,0
8.92,6.27,0.95,0.45,F3IV/V,17.906338,0
6.34,11.38,0.89,0.209,A9V,16.620712,0
8.54,7.39,0.98,0.348,F0IV,17.883223,0
8.94,14.17,1.49,0.629,G3/G5V,19.69685,0
8.69,1.49,1.25,1.147,K1III,14.555931,1
7.74,4.57,0.94,0.036,B9V,16.039581,0
8.37,10.86,1.0,0.666,G2IV,18.549149,0
7.63,13.46,1.61,0.491,F5V,18.275227,0
8.96,11.26,0.8,0.594,G0V,19.217693,0
9.7,1.71,1.51,0.814,G6/G8V,15.864981,0
8.89,4.26,2.56,0.3,A0/A1V,17.037048,0
8.34,10.91,2.01,0.533,F7/F8V,18.529123,0
8.74,11.1,1.27,0.601,G2V,18.966614,0
6.77,5.3,0.59,1.352,K2/K3III,15.391378,1
5.95,15.49,0.75,0.043,A1V,16.900257,0
7.85,6.06,0.7,1.186,K2III/IVCN.,16.762363,0
6.49,6.48,1.01,0.91,G8III,15.547874,1
7.49,0.71,0.82,-0.037,B3III,11.746292,1
7.62,4.59,0.57,1.011,K0III,15.929064,1
7.83,9.21,0.69,0.471,F5V,17.651299,0
9.38,1.58,1.24,0.019,B9IV,15.373285,0
9.34,2.46,2.12,0.267,O9.5V,16.294676,0
6.7,5.47,0.87,0.037,A1Vn,15.389936,0
8.92,8.17,1.89,0.499,F5V,18.48111,0
7.32,23.18,0.92,0.622,G0V,19.145567,0
8.13,2.12,0.96,-0.045,B5V,14.76168,0
6.79,3.12,0.52,-0.048,B9V,14.260773,0
5.34,1.27,0.82,-0.188,B1IV,10.859018,0
9.06,4.65,1.32,0.146,B9.5V,17.397266,0
9.16,9.16,1.49,0.577,G0Vw...,18.969477,0
7.64,2.39,1.0,0.087,A1V,14.53199,0
8.97,1.35,1.42,1.057,G8/K0III,14.62167,1
8.69,0.06,0.89,-0.036,B9V,7.580756,0
3.27,5.79,0.69,-0.186,B2IV,12.083393,0
8.12,8.88,0.7,0.47,F5V,17.862064,0
