,Gender,Age,Department,Amount of time spent reading books per day,Reason for reading books,How to manage books for reading,Number of e-books you read last two years,Number of printed books you read last two years,Favorite books for reading to spend leisure time,What is the change that you fell after reading books,Who influenced you to read books,Which language books do you like to read,Where do you read printed books,Do you read Newspaper,The format that you used for reading books,Frequency of reading books,target
29,Male,21,SWE,1,Academic Purpose,Buy,,More than 20,Fiction,Increase Problem Solving Skill,Teachers,Bangla,Home,No,Printed,On everyday basis,1
30,Male,22,SWE,2,Academic Purpose,Borrow,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,Printed,On everyday basis,0
31,Male,23,EEE,2,Academic Purpose,Others,11-15,16-20,Others,Increase Academic Performance,Teachers,English,During Travel,Yes,Both,A few times a month,1
32,Male,22,CSE,2,Academic Purpose,Buy,More than 20,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,On everyday basis,1
33,Female,23,CSE,1,Academic Purpose,E-books,1-5,1-5,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,0
34,Male,23,CSE,1,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Academic Performance,Teachers,Bangla,Home,No,Both,A few times a month,1
35,Female,22,Pharmacy,1,Academic Purpose,Others,1-5,6-10,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
36,Male,23,CSE,2,Keep me informative,E-books,1-5,6-10,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
37,Male,21,CSE,1,Academic Purpose,E-books,More than 20,More than 20,Fiction,Feel Relax,Parents,Bangla,Home,Yes,E-books,A few times a week,0
38,Male,21,CSE,2,Keep me informative,Buy,More than 20,11-15,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
39,Male,22,CSE,1,Academic Purpose,Others,6-10,11-15,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
40,Male,23,CSE,4,Academic Purpose,E-books,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,E-books,On everyday basis,0
41,Male,22,CSE,1,Academic Purpose,E-books,More than 20,1-5,Others,Increase Creative Thinking,Teachers,English,Home,Yes,E-books,A few times a week,1
42,Male,20,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Printed,A few times a week,1
43,Male,22,BBA,2,Keep me informative,E-books,1-5,1-5,Fiction,Feel Relax,Friends,Bangla,Home,Yes,E-books,A few times a week,0
44,Male,21,CSE,1,Academic Purpose,Buy,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,During Travel,No,Printed,A few times a week,0
45,Male,22,CSE,1,Academic Purpose,Others,1-5,1-5,Biography,Increase Academic Performance,Teachers,English,Home,No,Both,Less than once a year,1
46,Male,22,CSE,1,Academic Purpose,Buy,1-5,1-5,Fiction,Increase Problem Solving Skill,Parents,English,Home,Yes,Both,On everyday basis,1
47,Male,23,CSE,2,Academic Purpose,E-books,More than 20,11-15,Fiction,Increase Creative Thinking,Self-Decision,English,Library,Yes,E-books,On everyday basis,1
48,Male,22,CSE,1,Keep me informative,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,1
49,Male,22,CSE,1,Entertainment Purpose,Buy,1-5,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
50,Male,23,CSE,1,Keep me informative,Others,,1-5,Others,Increase Creative Thinking,Parents,Bangla,Home,No,Both,A few times a month,0
51,Female,23,CSE,2,Academic Purpose,Buy,1-5,1-5,Others,Increase Creative Thinking,Teachers,Bangla,Library,Yes,Both,A few times a week,1
52,Female,22,NFE,1,To increase my English vocabulary knowledge,Buy,1-5,6-10,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a week,0
53,Male,21,CSE,1,Entertainment Purpose,Buy,1-5,1-5,Non-Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a month,0
54,Male,21,CSE,2,Entertainment Purpose,Buy,More than 20,16-20,Fiction,Increase Problem Solving Skill,Parents,Bangla,Home,Yes,Printed,On everyday basis,0
55,Male,20,CSE,3,Keep me informative,E-books,6-10,6-10,Others,Increase Academic Performance,Parents,Bangla,Home,Yes,Both,On everyday basis,1
56,Female,21,Others,3,Keep me informative,Borrow,1-5,6-10,Others,Feel Relax,Teachers,Bangla,Library,Yes,Both,A few times a week,1
57,Male,23,CSE,1,Academic Purpose,Others,1-5,1-5,Fiction,Increase Academic Performance,Teachers,Bangla,Home,No,E-books,Once or twice a year,1
58,Male,22,EEE,6,Keep me informative,Buy,16-20,16-20,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,Less than once a year,0
59,Male,22,CSE,1,Academic Purpose,E-books,6-10,11-15,Others,Increase Academic Performance,Teachers,Bangla,Home,No,Both,A few times a month,1
60,Male,22,Pharmacy,1,Academic Purpose,Borrow,,6-10,Politics,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Printed,On everyday basis,0
61,Female,21,CSE,2,To increase my English vocabulary knowledge,Borrow,11-15,11-15,Non-Fiction,Increase Academic Performance,Parents,English,Library,Yes,Printed,Less than once a year,1
62,Male,21,CSE,1,Academic Purpose,Buy,,6-10,Politics,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,E-books,A few times a week,1
63,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a month,1
64,Male,21,CSE,3,Keep me informative,E-books,More than 20,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,0
65,Male,18,CSE,1,Academic Purpose,Buy,1-5,6-10,Politics,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,1
66,Male,23,CSE,1,Keep me informative,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,A few times a week,0
67,Male,23,CSE,4,To increase my English vocabulary knowledge,Buy,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Printed,Less than once a year,1
68,Male,23,CSE,1,Keep me informative,E-books,More than 20,1-5,Non-Fiction,Feel Relax,Self-Decision,English,Library,Yes,Both,A few times a week,0
69,Male,22,CSE,1,Keep me informative,Buy,More than 20,More than 20,Others,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,On everyday basis,0
70,Male,22,CSE,1,Keep me informative,Buy,1-5,1-5,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
71,Male,20,CSE,4,Academic Purpose,Borrow,1-5,More than 20,Biography,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
72,Female,22,NFE,1,Academic Purpose,Others,,1-5,Biography,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a week,1
73,Male,22,CSE,1,Keep me informative,Others,1-5,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
74,Male,23,NFE,1,Academic Purpose,Others,,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,Printed,A few times a month,1
75,Male,23,CSE,1,Academic Purpose,E-books,More than 20,1-5,Biography,Increase Academic Performance,Friends,English,Library,Yes,E-books,Less than once a year,1
76,Male,23,CSE,1,Entertainment Purpose,E-books,More than 20,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,E-books,On everyday basis,0
77,Male,23,EEE,1,Keep me informative,Borrow,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
78,Male,22,EEE,2,Keep me informative,E-books,11-15,6-10,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,On everyday basis,1
79,Male,22,CSE,1,Academic Purpose,Buy,11-15,6-10,Fiction,Increase Academic Performance,Teachers,English,Home,No,Printed,A few times a month,1
80,Male,19,CSE,3,Keep me informative,Others,6-10,11-15,Others,Increase Academic Performance,Self-Decision,Bangla,Library,No,Both,A few times a month,1
81,Male,23,CSE,4,Keep me informative,E-books,16-20,1-5,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Library,Yes,Both,On everyday basis,0
82,Male,21,SWE,1,Keep me informative,E-books,More than 20,6-10,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,E-books,A few times a week,0
83,Female,22,NFE,1,Entertainment Purpose,E-books,More than 20,6-10,Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
84,Male,22,CSE,3,Academic Purpose,E-books,11-15,16-20,Non-Fiction,Increase Academic Performance,Parents,English,Home,Yes,E-books,A few times a month,1
85,Female,23,NFE,1,Entertainment Purpose,E-books,1-5,1-5,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,E-books,A few times a week,0
86,Male,23,English,1,Keep me informative,E-books,1-5,More than 20,Biography,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
87,Female,21,Others,3,Academic Purpose,E-books,6-10,6-10,Others,Increase Problem Solving Skill,Parents,Bangla,Home,No,Printed,On everyday basis,1
88,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Library,No,E-books,A few times a week,1
89,Male,22,CSE,1,Academic Purpose,Others,,1-5,Politics,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Both,On everyday basis,1
90,Male,22,CSE,1,Academic Purpose,E-books,6-10,1-5,Others,Increase Academic Performance,Friends,Bangla,During Travel,No,Printed,A few times a month,1
91,Male,23,CSE,1,Academic Purpose,E-books,11-15,1-5,Others,Increase Academic Performance,Teachers,Bangla,Home,Yes,E-books,A few times a month,1
92,Male,23,CSE,1,Entertainment Purpose,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Teachers,Bangla,Home,No,Both,A few times a month,0
93,Female,21,CSE,1,Keep me informative,Buy,,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
94,Male,22,CSE,1,Academic Purpose,E-books,More than 20,6-10,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a week,0
95,Male,22,SWE,3,Academic Purpose,E-books,11-15,1-5,Fiction,Increase Academic Performance,Teachers,English,Home,No,Printed,A few times a month,1
96,Male,23,EEE,2,Keep me informative,Buy,1-5,6-10,Non-Fiction,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,A few times a week,0
97,Male,21,CSE,1,Academic Purpose,E-books,1-5,,Others,Increase Creative Thinking,Friends,English,Home,No,E-books,A few times a week,1
98,Male,22,CSE,1,Academic Purpose,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,No,Both,On everyday basis,1
99,Male,20,CSE,7,Academic Purpose,E-books,6-10,6-10,Fiction,Increase Academic Performance,Parents,Bangla,Library,Yes,Both,On everyday basis,1
100,Male,22,CSE,2,Academic Purpose,Borrow,11-15,16-20,Fiction,Increase Problem Solving Skill,Parents,English,Library,Yes,Both,On everyday basis,1
101,Male,18,CSE,2,Academic Purpose,Buy,6-10,11-15,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,On everyday basis,1
102,Male,22,CSE,3,Academic Purpose,E-books,More than 20,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
103,Male,19,CSE,1,Keep me informative,E-books,6-10,1-5,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,1
104,Male,23,CSE,1,Academic Purpose,E-books,11-15,1-5,Fiction,Increase Academic Performance,Teachers,English,Library,Yes,E-books,A few times a month,1
105,Male,20,CSE,1,To increase my English vocabulary knowledge,Buy,1-5,More than 20,Others,Increase Academic Performance,Self-Decision,Bangla,Library,Yes,Printed,A few times a week,0
106,Male,21,SWE,1,Entertainment Purpose,Used-all,6-10,More than 20,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
107,Male,21,English,1,Entertainment Purpose,Used-all,11-15,6-10,Fiction,Feel Relax,Parents,Others,Home,No,Printed,A few times a week,0
108,Female,20,English,2,Academic Purpose,Borrow,16-20,1-5,Biography,Feel Relax,Parents,English,Home,No,Both,A few times a week,1
109,Male,22,English,2,Entertainment Purpose,E-books,1-5,1-5,Fiction,Increase Problem Solving Skill,Friends,English,Library,No,Both,A few times a month,0
110,Male,21,English,4,Keep me informative,Used-all,6-10,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,On everyday basis,1
111,Male,19,SWE,1,Keep me informative,E-books,,More than 20,Others,Feel Relax,Friends,English,Home,Yes,E-books,On everyday basis,1
112,Female,21,English,1,To increase my English vocabulary knowledge,E-books,6-10,1-5,Biography,Feel Relax,Self-Decision,English,Home,Yes,Both,A few times a week,0
113,Male,21,English,2,Academic Purpose,Buy,1-5,,Politics,Increase Creative Thinking,Friends,English,Library,Yes,Printed,A few times a week,0
114,Female,21,English,4,To increase my English vocabulary knowledge,Used-all,1-5,1-5,Biography,Increase Problem Solving Skill,Teachers,English,Home,Yes,Both,On everyday basis,1
115,Male,22,SWE,1,Keep me informative,Used-all,11-15,6-10,Fiction,Feel Relax,Self-Decision,Bangla,During Travel,Yes,Both,A few times a month,0
116,Female,23,English,1,Academic Purpose,Used-all,1-5,11-15,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,1
117,Male,23,English,1,Keep me informative,Used-all,11-15,More than 20,Fiction,Increase Creative Thinking,Friends,English,Home,Yes,Printed,On everyday basis,0
118,Female,20,CSE,4,Keep me informative,Used-all,More than 20,6-10,Biography,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,0
119,Male,23,CSE,4,Keep me informative,Others,More than 20,More than 20,Politics,Feel Relax,Self-Decision,Others,During Travel,Yes,Both,On everyday basis,0
120,Male,21,CSE,1,Academic Purpose,Used-all,More than 20,6-10,Others,Increase Academic Performance,Self-Decision,English,Library,Yes,Both,A few times a week,1
121,Female,21,English,3,Keep me informative,Buy,1-5,6-10,Non-Fiction,Increase Creative Thinking,Parents,English,Home,Yes,Printed,On everyday basis,1
122,Male,22,CSE,1,Keep me informative,E-books,6-10,1-5,Biography,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,A few times a week,0
123,Male,22,CSE,1,Academic Purpose,Buy,1-5,,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
124,Male,21,CSE,3,Academic Purpose,E-books,More than 20,6-10,Fiction,Increase Academic Performance,Self-Decision,English,Home,Yes,Both,On everyday basis,1
125,Male,22,CSE,4,Keep me informative,Used-all,More than 20,More than 20,Others,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,On everyday basis,1
126,Female,21,CSE,1,Academic Purpose,E-books,6-10,,Others,Increase Creative Thinking,Friends,Bangla,Home,Yes,Both,On everyday basis,1
127,Male,21,CSE,1,Entertainment Purpose,E-books,More than 20,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Both,A few times a month,0
128,Male,20,CSE,2,Keep me informative,E-books,6-10,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a week,0
129,Male,22,CSE,2,Academic Purpose,E-books,1-5,11-15,Others,Increase Problem Solving Skill,Self-Decision,English,Home,No,Both,On everyday basis,1
130,Male,22,CSE,1,To increase my English vocabulary knowledge,E-books,More than 20,6-10,Others,Increase Creative Thinking,Teachers,Bangla,Home,Yes,Both,On everyday basis,1
131,Male,21,CSE,3,Keep me informative,Used-all,1-5,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
132,Male,21,CSE,2,Keep me informative,Used-all,6-10,1-5,Fiction,Increase Problem Solving Skill,Self-Decision,Bangla,Library,Yes,Both,A few times a week,1
133,Male,21,CSE,1,Academic Purpose,Used-all,,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a month,0
134,Male,22,CSE,4,Academic Purpose,Buy,1-5,More than 20,Fiction,Increase Problem Solving Skill,Teachers,Bangla,Home,Yes,Printed,A few times a week,1
135,Male,22,CSE,2,Keep me informative,E-books,6-10,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a month,0
136,Male,21,CSE,2,Keep me informative,E-books,1-5,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,E-books,A few times a month,0
137,Male,21,CSE,1,Keep me informative,E-books,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,Yes,E-books,A few times a week,0
138,Male,23,CSE,1,Entertainment Purpose,Borrow,1-5,1-5,Fiction,Increase Creative Thinking,Friends,English,Home,Yes,Printed,On everyday basis,1
139,Male,22,English,1,Academic Purpose,E-books,More than 20,More than 20,Others,Increase Creative Thinking,Parents,Bangla,Home,Yes,Both,On everyday basis,0
140,Male,20,English,8,To increase my English vocabulary knowledge,Buy,11-15,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Library,Yes,Both,On everyday basis,0
141,Female,20,English,1,To increase my English vocabulary knowledge,Used-all,1-5,,Others,Increase Problem Solving Skill,Self-Decision,Bangla,During Travel,Yes,Both,A few times a week,0
142,Female,20,English,2,Academic Purpose,Buy,6-10,6-10,Fiction,Feel Relax,Self-Decision,English,Home,No,Printed,A few times a week,1
143,Male,22,SWE,1,Academic Purpose,E-books,6-10,1-5,Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,No,E-books,A few times a week,1
144,Male,21,CSE,1,Entertainment Purpose,Used-all,1-5,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Both,Once or twice a year,0
145,Male,22,English,2,Keep me informative,Used-all,16-20,More than 20,Biography,Increase Problem Solving Skill,Self-Decision,English,Home,Yes,Printed,On everyday basis,0
146,Male,23,English,2,Keep me informative,Used-all,More than 20,More than 20,Fiction,Increase Creative Thinking,Parents,English,Home,Yes,Both,A few times a week,0
147,Female,21,English,1,Entertainment Purpose,E-books,More than 20,1-5,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,0
148,Female,18,English,2,Academic Purpose,Used-all,1-5,1-5,Others,Increase Problem Solving Skill,Self-Decision,Bangla,Home,No,Both,A few times a month,0
149,Female,19,English,1,Academic Purpose,Used-all,More than 20,More than 20,Others,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a week,0
150,Female,23,English,2,Academic Purpose,Buy,1-5,11-15,Non-Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a week,1
151,Male,22,CSE,1,Academic Purpose,E-books,More than 20,1-5,Others,Increase Academic Performance,Self-Decision,English,Library,Yes,Both,A few times a month,1
152,Male,21,English,1,Academic Purpose,Others,,1-5,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Printed,On everyday basis,1
153,Male,22,English,1,Academic Purpose,Buy,More than 20,1-5,Fiction,Increase Creative Thinking,Teachers,English,Home,No,Printed,A few times a week,1
154,Male,20,CSE,1,Keep me informative,Used-all,,,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,0
155,Male,21,EEE,1,Academic Purpose,Buy,1-5,6-10,Others,Increase Academic Performance,Self-Decision,Bangla,Home,No,Both,A few times a week,1
156,Male,22,MCT,1,Academic Purpose,E-books,1-5,,Others,Increase Academic Performance,Self-Decision,English,Home,No,Both,A few times a week,1
157,Male,22,MCT,1,Keep me informative,Used-all,6-10,1-5,Fiction,Increase Creative Thinking,Friends,Bangla,Home,No,Both,A few times a month,0
158,Male,20,MCT,1,Academic Purpose,E-books,,1-5,Fiction,Feel Relax,Self-Decision,Bangla,Home,No,Printed,A few times a month,0
159,Male,21,MCT,1,Entertainment Purpose,Buy,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,0
160,Male,22,MCT,1,Keep me informative,Used-all,6-10,6-10,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Library,Yes,Both,A few times a week,1
161,Male,20,CSE,2,Academic Purpose,E-books,1-5,11-15,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,On everyday basis,0
162,Female,22,MCT,1,Academic Purpose,Others,1-5,1-5,Biography,Increase Problem Solving Skill,Self-Decision,English,Home,No,Both,A few times a month,0
163,Male,21,MCT,1,Academic Purpose,Used-all,1-5,11-15,Fiction,Increase Academic Performance,Friends,English,Home,No,Both,A few times a month,1
164,Male,21,MCT,1,Keep me informative,Buy,1-5,1-5,Others,Feel Relax,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,0
165,Male,22,MCT,1,Academic Purpose,E-books,,1-5,Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,E-books,Once or twice a year,1
166,Male,22,MCT,1,Keep me informative,E-books,More than 20,More than 20,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,0
167,Female,21,English,4,To increase my English vocabulary knowledge,Buy,More than 20,16-20,Fiction,Increase Problem Solving Skill,Teachers,English,Home,Yes,Both,On everyday basis,0
168,Female,21,NFE,2,Entertainment Purpose,E-books,1-5,1-5,Biography,Increase Creative Thinking,Self-Decision,English,Home,No,Both,A few times a month,1
169,Male,22,MCT,1,Academic Purpose,Used-all,1-5,1-5,Non-Fiction,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Printed,A few times a week,1
170,Female,19,MCT,3,Keep me informative,Used-all,1-5,More than 20,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,Yes,Both,A few times a month,0
171,Male,21,MCT,1,Entertainment Purpose,Others,1-5,1-5,Others,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Printed,A few times a month,1
172,Male,22,CSE,2,Entertainment Purpose,Used-all,More than 20,More than 20,Fiction,Feel Relax,Self-Decision,Bangla,Home,Yes,E-books,A few times a week,0
173,Male,21,CSE,2,To increase my English vocabulary knowledge,E-books,11-15,16-20,Fiction,Feel Relax,Self-Decision,English,Home,No,Both,A few times a week,0
174,Male,20,CSE,3,Academic Purpose,Buy,,,Politics,Increase Creative Thinking,Friends,English,Home,Yes,Printed,On everyday basis,1
175,Male,21,CSE,4,Academic Purpose,Used-all,11-15,6-10,Others,Increase Academic Performance,Self-Decision,Bangla,Home,Yes,Both,On everyday basis,1
176,Male,21,CSE,2,Keep me informative,Used-all,More than 20,More than 20,Non-Fiction,Increase Creative Thinking,Self-Decision,English,Home,Yes,Both,A few times a week,1
177,Male,22,CSE,1,Academic Purpose,E-books,1-5,1-5,Non-Fiction,Increase Problem Solving Skill,Self-Decision,English,Library,Yes,E-books,On everyday basis,1
178,Male,23,CSE,1,Academic Purpose,Others,11-15,6-10,Fiction,Increase Creative Thinking,Self-Decision,Bangla,Home,No,Both,A few times a week,1
