,Gender,Age,Education,Nationality,Marital_Status,Governorate,Aware_151,Call_151,The_reason_of_the_call,Call_center_employee_communication_skills_evaluation,Satisfaction_with_the_doctors_response,How_often_do_you_receive_call_center_news,target
27,Male,18-24,Diploma,Other nationality,Single,Capital,Yes,Yes,Vaccination,5.0,4.714,4.1,1
28,Male,18-24,High school,Other nationality,Single,Farwaniya,Yes,Yes,Inquiries,4.857,5.0,2.8,1
29,Male,18-24,Diploma,Unspecified,Single,Jahra,Yes,Yes,Vaccination,4.714,4.857,4.3,1
30,Male,25-29,Diploma,Unspecified,Single,Jahra,Yes,Yes,Medical_Consultation,5.0,4.714,4.8,1
31,Male,25-29,High school,Unspecified,Single,Capital,Yes,Yes,Inquiries,5.0,5.0,4.6,1
32,Male,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Complaints,5.0,5.0,5.0,1
33,Male,18-24,Diploma,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Medical_Consultation,4.0,5.0,4.4,1
34,Male,18-24,Diploma,Other nationality,Single,Jahra,Yes,Yes,Complaints,2.857,5.0,2.9,0
35,Male,25-29,Diploma,Kuwaiti,Single,Jahra,Yes,Yes,Vaccination,5.0,5.0,5.0,1
36,Male,18-24,High school,Unspecified,Single,Jahra,Yes,Yes,Inquiries,5.0,5.0,5.0,1
37,Male,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Vaccination,3.286,4.429,3.4,1
38,Male,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Medical_Consultation,5.0,5.0,3.9,1
39,Male,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries,5.0,4.714,5.0,1
40,Female,18-24,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,4.571,4.857,1.3,1
41,Female,30-39,Diploma,Kuwaiti,Married,AlAhmadi,Yes,Yes,Vaccination,5.0,5.0,1.9,1
42,Female,18-24,High school,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,3.714,4.714,4.6,1
43,Female,18-24,High school,Kuwaiti,Single,Capital,Yes,Yes,Vaccination,5.0,5.0,4.9,1
44,Female,18-24,High school,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,4.0,4.286,4.1,1
45,Female,18-24,Bachelor,Kuwaiti,Married,AlAhmadi,Yes,Yes,Inquiries_COVID19,4.429,5.0,4.1,1
46,Female,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Medical_Consultation,3.571,5.0,3.4,1
47,Female,18-24,Bachelor,Kuwaiti,Single,Around,No,Yes,Medical_Consultation,3.286,4.0,3.2,1
48,Female,30-39,Bachelor,Other nationality,Married,AlAhmadi,Yes,Yes,Inquiries_COVID19,4.429,5.0,3.5,1
49,Female,18-24,Bachelor,Unspecified,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,5.0,4.857,3.4,1
50,Male,60 and above,High school,Kuwaiti,Married,Around,Yes,Yes,Vaccination,4.143,4.143,2.8,1
51,Male,40-49,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Vaccination,5.0,5.0,3.1,1
52,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Vaccination,4.857,5.0,3.5,1
53,Female,25-29,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,2.143,2.857,3.6,1
54,Female,18-24,High school,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,5.0,5.0,2.9,1
55,Female,Under 18,Less than high school,Kuwaiti,Single,Around,Yes,Yes,Medical_Consultation,4.143,5.0,2.4,1
56,Female,18-24,Diploma,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries,4.714,4.857,4.8,1
57,Male,30-39,Less than high school,Kuwaiti,Married,Capital,Yes,Yes,Vaccination,2.714,4.714,2.8,1
58,Male,25-29,Diploma,Kuwaiti,Single,Around,Yes,Yes,Inquiries_COVID19,4.286,3.857,2.2,1
59,Female,18-24,High school,Kuwaiti,Single,Around,Yes,Yes,Inquiries_COVID19,4.714,5.0,3.1,1
60,Female,18-24,High school,Other nationality,Single,Farwaniya,Yes,Yes,Inquiries,5.0,5.0,3.3,1
61,Female,18-24,Bachelor,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Inquiries,4.429,5.0,2.1,1
62,Female,50-59,Master,Kuwaiti,Single,Jahra,Yes,Yes,Complaints,5.0,5.0,3.8,1
63,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,4.0,4.0,4.0,1
64,Female,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Complaints,3.429,4.143,3.8,0
65,Female,30-39,Diploma,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries_COVID19,4.714,4.429,4.5,1
66,Female,25-29,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,4.0,4.0,3.7,1
67,Female,18-24,High school,Kuwaiti,Single,Capital,Yes,Yes,Medical_Consultation,4.857,4.857,4.0,1
68,Female,18-24,High school,Kuwaiti,Married,Jahra,Yes,Yes,Vaccination,3.857,3.0,3.0,1
69,Female,18-24,Diploma,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,4.286,4.429,4.4,1
70,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,5.0,4.143,4.0,1
71,Female,Under 18,Less than high school,Kuwaiti,Single,Farwaniya,Yes,Yes,Complaints,3.857,4.0,4.6,1
72,Male,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,4.143,4.286,5.0,1
73,Male,25-29,High school,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,3.714,2.571,2.7,1
74,Male,25-29,Diploma,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,5.0,4.429,3.0,1
75,Female,40-49,Doctor,Kuwaiti,Married,Around,Yes,Yes,Inquiries,3.714,4.0,3.2,1
76,Female,60 and above,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,3.857,3.714,3.1,1
77,Female,30-39,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,4.0,4.0,2.7,1
78,Female,40-49,Bachelor,Kuwaiti,Married,AlAhmadi,Yes,Yes,Vaccination,5.0,4.714,3.7,1
79,Female,50-59,Bachelor,Kuwaiti,Married,Around,Yes,Yes,Vaccination,4.571,4.286,4.0,1
80,Female,30-39,Diploma,Kuwaiti,Single,Around,Yes,Yes,Vaccination,4.0,4.0,3.4,1
81,Female,40-49,Bachelor,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Complaints,3.286,3.571,4.3,1
82,Female,25-29,Bachelor,Other nationality,Widow,AlAhmadi,Yes,Yes,Inquiries_COVID19,4.0,3.857,3.7,1
83,Female,30-39,High school,Kuwaiti,Married,Around,Yes,Yes,Vaccination,3.286,4.0,2.8,1
84,Female,18-24,Less than high school,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,2.143,2.714,2.8,1
85,Female,18-24,Bachelor,Other nationality,Single,Jahra,Yes,Yes,Medical_Consultation,4.0,4.0,4.2,1
86,Female,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Vaccination,4.0,4.0,3.1,1
87,Female,25-29,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,4.0,4.0,4.8,1
88,Female,40-49,High school,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,4.286,4.429,3.9,1
89,Female,25-29,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,4.0,4.0,5.0,1
90,Female,25-29,Bachelor,Other nationality,Married,Jahra,Yes,Yes,Complaints,1.857,2.857,3.4,1
91,Female,18-24,High school,Unspecified,Single,Jahra,Yes,Yes,Vaccination,4.429,4.857,4.2,1
92,Female,25-29,Bachelor,Other nationality,Widow,AlAhmadi,Yes,Yes,Inquiries,4.143,4.143,3.1,1
93,Female,25-29,High school,Kuwaiti,Single,Jahra,Yes,Yes,Medical_Consultation,3.571,4.0,2.9,1
94,Female,40-49,High school,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Inquiries_COVID19,4.0,4.0,4.2,1
95,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,3.857,4.0,3.9,1
96,Female,25-29,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,4.0,4.0,1.3,1
97,Female,30-39,Diploma,Kuwaiti,Single,Farwaniya,Yes,Yes,Vaccination,4.143,3.857,3.1,1
98,Female,30-39,Diploma,Kuwaiti,Widow,Farwaniya,No,Yes,Vaccination,3.714,3.857,3.5,1
99,Female,40-49,Bachelor,Kuwaiti,Married,AlAhmadi,Yes,Yes,Medical_Consultation,3.857,4.0,2.5,1
100,Female,18-24,Diploma,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,4.0,4.0,3.1,1
101,Female,30-39,Bachelor,Kuwaiti,Widow,Mubarak AlKabir,Yes,Yes,Vaccination,4.429,4.143,2.9,1
102,Female,30-39,Diploma,Unspecified,Married,Jahra,Yes,Yes,Vaccination,2.429,3.571,2.5,1
103,Female,18-24,Bachelor,Unspecified,Married,Jahra,Yes,Yes,Medical_Consultation,4.143,4.0,3.7,1
104,Female,30-39,Diploma,Other nationality,Single,Around,Yes,Yes,Vaccination,4.286,3.857,4.1,1
105,Male,60 and above,Diploma,Other nationality,Widower,Around,Yes,Yes,Inquiries_COVID19,4.286,4.857,4.7,1
106,Male,60 and above,Doctor,Kuwaiti,Married,Capital,Yes,Yes,Vaccination,3.857,4.0,2.8,1
107,Male,18-24,High school,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,4.0,4.0,3.5,1
108,Male,30-39,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Complaints,2.429,2.429,2.9,1
109,Male,18-24,High school,Kuwaiti,Single,Around,Yes,Yes,Inquiries_COVID19,3.286,3.571,3.2,1
110,Male,40-49,High school,Kuwaiti,Married,Around,Yes,Yes,Inquiries_COVID19,2.571,3.571,3.8,1
111,Male,18-24,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Medical_Consultation,3.571,3.714,2.5,1
112,Male,18-24,Bachelor,Other nationality,Single,Jahra,Yes,Yes,Vaccination,4.571,4.0,4.5,1
113,Male,25-29,Bachelor,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries,2.714,3.571,3.4,1
114,Male,18-24,Bachelor,Other nationality,Single,Jahra,Yes,Yes,Vaccination,4.0,4.0,4.0,1
115,Male,18-24,High school,Kuwaiti,Single,Farwaniya,Yes,Yes,Vaccination,4.0,4.143,3.7,1
116,Male,40-49,Bachelor,Unspecified,Widow,Mubarak AlKabir,Yes,Yes,Complaints,4.143,4.0,3.1,1
117,Male,50-59,High school,Unspecified,Married,Capital,Yes,Yes,Medical_Consultation,3.857,4.714,4.3,1
118,Male,18-24,Diploma,Unspecified,Single,Jahra,Yes,Yes,Vaccination,3.714,4.0,3.8,1
119,Male,30-39,Diploma,Unspecified,Single,Jahra,Yes,Yes,Inquiries_COVID19,4.429,4.143,3.3,1
120,Male,25-29,Bachelor,Other nationality,Married,Jahra,Yes,Yes,Inquiries_COVID19,3.857,4.286,4.1,1
121,Male,25-29,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Inquiries,4.0,4.429,1.6,1
122,Male,25-29,High school,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries_COVID19,2.857,3.571,1.3,1
123,Male,25-29,High school,Kuwaiti,Married,Around,Yes,Yes,Inquiries_COVID19,2.429,4.0,3.3,1
124,Male,18-24,Bachelor,Other nationality,Married,Around,Yes,Yes,Inquiries,4.0,4.0,4.0,1
125,Male,30-39,Diploma,Unspecified,Married,Jahra,Yes,Yes,Medical_Consultation,3.857,4.0,3.5,1
126,Male,25-29,High school,Unspecified,Married,Jahra,No,Yes,Vaccination,4.143,4.0,3.2,1
127,Male,25-29,High school,Unspecified,Married,Jahra,Yes,Yes,Vaccination,3.857,4.0,3.7,1
128,Female,30-39,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries,3.429,4.0,3.4,1
129,Female,50-59,Master,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Inquiries,3.429,3.429,2.7,1
130,Female,50-59,Bachelor,Kuwaiti,Widow,Around,Yes,Yes,Complaints,3.857,3.143,2.9,1
131,Female,25-29,Bachelor,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries,4.0,4.0,3.0,1
132,Female,18-24,Diploma,Kuwaiti,Married,Jahra,Yes,Yes,Medical_Consultation,3.0,3.0,3.3,1
133,Female,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries_COVID19,2.571,3.286,2.6,1
134,Female,25-29,High school,Kuwaiti,Single,Around,No,Yes,Inquiries,3.714,4.429,4.6,1
135,Female,25-29,Bachelor,Other nationality,Married,AlAhmadi,Yes,Yes,Inquiries,3.286,3.714,4.3,1
136,Female,30-39,Diploma,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,4.0,4.0,3.0,1
137,Female,30-39,Bachelor,Kuwaiti,Widow,Capital,Yes,Yes,Inquiries_COVID19,2.857,3.0,3.0,1
138,Female,40-49,Diploma,Unspecified,Married,Jahra,Yes,Yes,Medical_Consultation,4.0,4.571,2.6,1
139,Female,50-59,Diploma,Other nationality,Married,Farwaniya,Yes,Yes,Inquiries,4.429,4.0,3.8,1
140,Female,40-49,Diploma,Kuwaiti,Single,Around,Yes,Yes,Inquiries,3.857,3.571,3.0,1
141,Female,30-39,Diploma,Unspecified,Married,Capital,Yes,Yes,Vaccination,5.0,4.571,2.8,1
142,Male,40-49,Doctor,Kuwaiti,Married,Capital,Yes,Yes,Complaints,2.714,2.571,2.1,0
143,Male,30-39,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Complaints,3.0,3.286,2.4,0
144,Male,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries_COVID19,3.286,3.286,2.0,1
145,Male,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries_COVID19,3.143,3.286,3.3,1
146,Male,25-29,High school,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,3.571,4.0,2.0,1
147,Male,25-29,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries,2.857,3.0,3.5,1
148,Male,30-39,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,3.429,3.857,1.9,1
149,Male,40-49,Master,Unspecified,Married,Jahra,Yes,Yes,Inquiries,3.857,3.857,3.2,1
150,Female,18-24,Bachelor,Kuwaiti,Married,AlAhmadi,Yes,Yes,Inquiries_COVID19,4.0,4.0,3.2,1
151,Female,40-49,Bachelor,Kuwaiti,Married,AlAhmadi,Yes,Yes,Inquiries,4.286,4.0,2.5,1
152,Female,25-29,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,3.571,3.429,1.7,1
153,Female,50-59,Bachelor,Kuwaiti,Married,Capital,Yes,Yes,Medical_Consultation,2.857,2.714,2.6,1
154,Female,30-39,Bachelor,Kuwaiti,Married,Around,Yes,Yes,Inquiries_COVID19,3.571,3.857,1.7,1
155,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,4.143,4.286,2.1,1
156,Female,25-29,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries_COVID19,3.571,4.0,3.5,1
157,Female,25-29,High school,Kuwaiti,Married,Farwaniya,Yes,Yes,Medical_Consultation,3.429,3.571,1.6,1
158,Female,25-29,Bachelor,Kuwaiti,Married,Around,Yes,Yes,Inquiries,2.857,4.429,3.6,1
159,Male,25-29,High school,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,3.857,3.286,3.0,1
160,Male,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,3.429,3.857,2.8,1
161,Male,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,3.714,4.0,3.8,1
162,Male,18-24,High school,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,3.857,4.0,2.6,1
163,Male,18-24,High school,Kuwaiti,Single,Capital,Yes,Yes,Complaints,2.571,3.143,2.5,1
164,Male,30-39,Bachelor,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries,3.857,4.143,2.7,1
165,Male,18-24,Diploma,Kuwaiti,Single,Jahra,Yes,Yes,Vaccination,5.0,4.143,3.2,1
166,Female,18-24,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries_COVID19,1.857,3.429,2.0,0
167,Female,18-24,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,2.143,2.571,2.0,1
168,Female,25-29,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,2.429,3.143,1.9,0
169,Male,60 and above,Doctor,Kuwaiti,Married,Capital,Yes,Yes,Complaints,2.429,2.857,2.9,1
170,Male,25-29,High school,Unspecified,Single,Jahra,Yes,Yes,Inquiries_COVID19,4.0,3.0,2.7,0
171,Female,18-24,High school,Kuwaiti,Widow,Farwaniya,Yes,Yes,Inquiries,3.857,2.857,3.3,1
172,Female,30-39,Diploma,Unspecified,Widow,Jahra,Yes,Yes,Medical_Consultation,2.714,2.571,4.2,1
173,Male,18-24,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Inquiries_COVID19,3.0,3.143,3.6,1
174,Male,40-49,High school,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Complaints,3.714,3.714,3.1,1
175,Male,25-29,Bachelor,Other nationality,Single,Jahra,Yes,Yes,Inquiries,3.143,3.0,3.0,1
176,Male,18-24,Diploma,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries,5.0,3.857,4.3,1
177,Male,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Complaints,3.0,3.857,2.7,0
178,Female,30-39,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,3.0,3.0,3.5,1
179,Female,18-24,Bachelor,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Vaccination,2.429,2.714,2.7,0
180,Female,40-49,Bachelor,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Complaints,2.429,2.571,2.7,1
181,Female,18-24,Bachelor,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Vaccination,3.429,2.571,2.2,1
182,Female,18-24,High school,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,3.857,3.571,3.6,0
183,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,3.571,3.0,3.8,1
184,Female,18-24,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries_COVID19,2.571,3.429,3.6,1
185,Female,30-39,Diploma,Kuwaiti,Widow,Farwaniya,Yes,Yes,Medical_Consultation,3.0,2.857,2.2,1
186,Female,40-49,Diploma,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries_COVID19,3.571,3.714,3.0,1
187,Male,30-39,Bachelor,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Inquiries,2.571,3.0,2.6,1
188,Male,18-24,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Inquiries,4.143,3.714,3.2,1
189,Male,18-24,High school,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries_COVID19,2.714,3.143,1.9,1
190,Male,30-39,Bachelor,Kuwaiti,Married,Mubarak AlKabir,Yes,Yes,Inquiries,3.286,3.0,3.0,1
191,Male,40-49,High school,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries_COVID19,2.429,3.0,1.7,0
192,Male,60 and above,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Complaints,3.429,2.714,2.7,1
193,Male,25-29,Master,Kuwaiti,Single,Capital,Yes,Yes,Medical_Consultation,3.286,3.714,5.0,0
194,Female,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Medical_Consultation,3.143,3.143,2.8,0
195,Female,50-59,Bachelor,Kuwaiti,Married,Around,Yes,Yes,Inquiries_COVID19,3.857,3.286,2.3,1
196,Female,30-39,Master,Kuwaiti,Married,AlAhmadi,Yes,Yes,Inquiries,2.429,2.429,2.9,1
197,Female,18-24,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Inquiries,3.0,3.0,3.0,1
198,Female,18-24,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Inquiries,3.571,3.0,1.9,0
199,Female,40-49,Bachelor,Kuwaiti,Married,Farwaniya,Yes,Yes,Complaints,3.143,2.857,2.9,0
200,Female,18-24,Bachelor,Kuwaiti,Single,Around,Yes,Yes,Inquiries,3.0,3.0,3.0,1
201,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,3.714,3.571,3.0,1
202,Female,25-29,Diploma,Unspecified,Single,Jahra,Yes,Yes,Inquiries,2.857,3.143,2.6,1
203,Male,40-49,Master,Kuwaiti,Married,AlAhmadi,Yes,Yes,Inquiries_COVID19,3.0,2.714,1.7,1
204,Male,25-29,High school,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries,3.0,3.0,3.0,1
205,Male,25-29,Bachelor,Kuwaiti,Single,Mubarak AlKabir,No,Yes,Complaints,2.0,3.571,3.0,1
206,Male,18-24,Bachelor,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,2.571,2.714,1.9,0
207,Male,40-49,Bachelor,Kuwaiti,Married,Around,Yes,Yes,Complaints,2.714,2.429,2.0,0
208,Male,30-39,Diploma,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,4.143,3.0,2.9,1
209,Male,30-39,High school,Kuwaiti,Widow,Jahra,Yes,Yes,Inquiries,3.0,3.0,4.2,1
210,Male,25-29,Bachelor,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries,2.857,3.0,4.7,1
211,Male,18-24,High school,Kuwaiti,Married,Capital,Yes,Yes,Vaccination,2.857,3.0,1.9,1
212,Male,18-24,High school,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,3.143,3.0,2.8,1
213,Male,40-49,Diploma,Kuwaiti,Married,Farwaniya,Yes,Yes,Inquiries,3.857,3.571,3.2,1
214,Male,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Inquiries,3.143,3.0,3.5,1
215,Male,18-24,High school,Unspecified,Single,Jahra,Yes,Yes,Inquiries_COVID19,3.0,3.0,2.9,1
216,Male,25-29,Bachelor,Kuwaiti,Married,Jahra,Yes,Yes,Inquiries_COVID19,4.286,3.0,2.8,1
217,Male,40-49,Doctor,Other nationality,Married,Around,Yes,Yes,Complaints,3.429,3.714,2.5,1
218,Female,18-24,Bachelor,Unspecified,Single,Jahra,Yes,Yes,Vaccination,2.571,2.857,1.4,0
219,Female,50-59,Diploma,Kuwaiti,Married,Around,Yes,Yes,Vaccination,1.286,2.429,2.8,0
220,Female,18-24,Bachelor,Kuwaiti,Single,Mubarak AlKabir,Yes,Yes,Inquiries_COVID19,4.143,3.0,2.6,1
221,Female,30-39,Diploma,Other nationality,Single,Jahra,Yes,Yes,Vaccination,2.286,3.0,2.1,1
222,Female,25-29,Diploma,Kuwaiti,Single,Capital,Yes,Yes,Vaccination,3.0,3.571,3.2,1
223,Female,40-49,High school,Kuwaiti,Single,Capital,Yes,Yes,Inquiries,2.714,2.857,3.4,1
224,Female,18-24,Bachelor,Kuwaiti,Single,Farwaniya,Yes,Yes,Inquiries,2.429,3.0,2.8,1
225,Male,30-39,High school,Kuwaiti,Married,Capital,Yes,Yes,Inquiries_COVID19,2.429,3.0,2.0,1
226,Male,18-24,High school,Kuwaiti,Single,Jahra,Yes,Yes,Vaccination,2.571,3.0,3.1,1
227,Male,18-24,High school,Kuwaiti,Single,Around,Yes,Yes,Inquiries,3.143,3.714,3.0,1
228,Female,30-39,Master,Kuwaiti,Married,Capital,Yes,Yes,Inquiries,2.429,2.429,2.7,1
229,Female,30-39,Master,Kuwaiti,Married,AlAhmadi,Yes,Yes,Vaccination,1.714,3.0,1.5,0
230,Female,25-29,Bachelor,Kuwaiti,Single,AlAhmadi,Yes,Yes,Complaints,2.0,2.143,2.5,1
